case,reference,tensor,dtype,units,bytes_equal,actual_sha256,reference_sha256,different_bytes,signedMean,meanAbsolute,rms,maximumAbsolute
noise-only,captured45,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
noise-only,captured45,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
noise-only,captured45,fullResolutionModel,float32,native tensor domain,False,1554915c7ce7ed1b64ab4750373d0848c195bf7810bbab4635ad728b2ffad17c,c99029e8047eec701ad0110c2340bdf28394a2939638fd887feb80ae9e3c7b3a,4051949,-9.393296135086332e-05,0.0012396585920554264,0.0038695835271280485,0.08221203088760376
noise-only,captured45,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
noise-only,captured45,incomingHistory,float32,native tensor domain,True,09e747ebe39c60fa878cb1e51c4bad9d5571cd81dbb29e55fc118cc42527be1d,09e747ebe39c60fa878cb1e51c4bad9d5571cd81dbb29e55fc118cc42527be1d,0,0.0,0.0,0.0,0.0
noise-only,captured45,logicalFeatures,float32,native tensor domain,False,e6fcb6c85510564c084575ae3bcf93fa36e283378818b946cea4848a9c639166,b34c3b1f97e85832946cfa6108891678eb9a29b4fd660ffbcc8ed5f17973bb29,1178277,0.00041732131757675635,0.2116411672738094,0.6129518252786625,6.51953125
noise-only,captured45,logicalHead,float16,native tensor domain,False,dbf72749e78729bee94d074754d9dcaede37ca7d16f1f464033bf8d327fa0a4b,4ccb12f0fefed5b5a0b6e55ec3defcd4c8d9763635783a8f42761b7912f7569d,998008,-0.016679243337016994,0.059618130759594753,0.17230111256559258,2.5185546875
noise-only,captured45,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
noise-only,captured45,networkFeatures,float32,native tensor domain,False,0a9fa6e7346386f66ba0ca307ae0513a7a296b57f3f7d2c7cd5e0bc97337a26f,f363567f9b4f5da18f8449a578170e99ca6b0a1046604aed47111c0af1369776,1309190,0.0002760184560429479,0.21161807306871197,0.6128543168771716,6.51953125
noise-only,captured45,networkHead,float16,native tensor domain,False,71f7215a9797a5f19df3e4b4608699142f6470cf5c88edaaead4a5f59bb5bb2b,9387f9627b69c91696ce47fbb1dd34ad15eba3d12321d3a6c1654e443fc8b087,1104470,-0.016657550315358094,0.05999964273141813,0.16989613091096625,2.5185546875
noise-only,captured45,postprocessedSDR,float32,native tensor domain,False,8f21a6d5fd7811d43115cc780d525aca7d579e3552613c8489491608fbd080de,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,1067641,-9.392262698518741e-05,0.0012499549173349402,0.003886277152056059,0.078369140625
noise-only,captured45,preparedFeatures,float16,native tensor domain,False,35ea4f5676797fceee90a41eeb44c8c3bcf48f074a6413ce56b4aa2435ce28af,e52786f9602c80ddb15acd0b53dd03d8d694d8641246e61f440f0585e52cf502,967060,0.0002760184560429479,0.21161807306871197,0.6128543168771716,6.51953125
