sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,residual,controlHistoryReset,flashHistoryReset,publicMotionRequested,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
18,18,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2680795.683204543,3307896.6411064975,1262565045.6386008,-3.878465976858424,4.785730094193428,42.73906491951754,1703.5408935546875,-1703.5408935546875,18,447,226,B
18,18,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
19,19,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2909027.411387952,3480518.23469189,1453210481.9948928,-4.208662342864514,5.035471983061184,45.852434182698765,1734.0707397460938,-1734.0707397460938,19,447,226,B
19,19,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2909027.411387952,3480518.23469189,1453210481.9948928,-4.208662342864514,5.035471983061184,45.852434182698765,1734.0707397460938,-1734.0707397460938,19,447,226,B
19,19,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
20,20,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2550509.390540695,3115178.7226528283,1046278856.7190163,-3.6899730765924406,4.506913661245411,38.906472774146835,1674.8615112304688,-1674.8615112304688,20,447,226,B
20,20,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2550509.390540695,3115178.7226528283,1046278856.7190163,-3.6899730765924406,4.506913661245411,38.906472774146835,1674.8615112304688,-1674.8615112304688,20,447,226,B
20,20,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,R
21,21,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2526621.789927377,3073385.7468964593,993534690.2940751,-3.6554134692236357,4.446449286597887,37.913131136563145,1661.4204711914062,-1661.4204711914062,21,447,226,B
21,21,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2526621.789927377,3073385.7468964593,993534690.2940751,-3.6554134692236357,4.446449286597887,37.913131136563145,1661.4204711914062,-1661.4204711914062,21,447,226,B
21,21,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,R
22,22,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2905051.0399570162,3457876.4389060433,1412982645.1074488,-4.202909490678554,5.002714755361753,45.21333569846226,1728.6788330078125,-1728.6788330078125,22,447,226,B
22,22,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2905051.0399570162,3457876.4389060433,1412982645.1074488,-4.202909490678554,5.002714755361753,45.21333569846226,1728.6788330078125,-1728.6788330078125,22,447,226,B
22,22,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,R
23,23,30,1,30,prefix,controlEnhancedMinusOriginal,False,False,automatic,691200,-2602129.143208018,3162514.6731918366,1066255031.7288866,-3.764654431724563,4.5753973859835595,39.27612939032488,1686.0853271484375,-1686.0853271484375,23,447,226,B
23,23,30,1,30,prefix,flashEnhancedMinusOriginal,False,False,automatic,691200,-2602129.143208018,3162514.6731918366,1066255031.7288866,-3.764654431724563,4.5753973859835595,39.27612939032488,1686.0853271484375,-1686.0853271484375,23,447,226,B
23,23,30,1,30,prefix,pairedResidualDifference,False,False,automatic,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0,R
