revealSourceFrameIndex,observedSourceFrameIndex,ageFrames,finalObservation,cohortPixels,supportPixels,originalCorrespondenceBitExact,reason,enhancedMinusOriginal_signedMeanNits,enhancedMinusOriginal_meanAbsoluteNits,enhancedMinusOriginal_rmsNits,enhancedMinusOriginal_maximumAbsoluteNits,changeFromReveal_signedMeanNits,changeFromReveal_meanAbsoluteNits,changeFromReveal_rmsNits,changeFromReveal_maximumAbsoluteNits
17,19,2,False,10440,10440,True,,-6.91639804882717,7.8288178412469716,14.696440377244482,109.19533729553223,0.5173828457526168,2.405217223683917,6.420754983065254,63.06074523925781
18,19,1,False,10440,10440,True,,-8.632688217441698,9.138718773647286,15.117543968711077,102.95507049560547,-3.0009409445455706,3.2814821531489433,4.584863968064252,24.371444702148438
19,19,0,False,10440,10440,True,,-0.008706744395833972,0.9139766812000999,1.477258413778746,8.49002981185913,0.0,0.0,0.0,0.0
12,20,8,False,10440,10440,True,,0.08107456239285292,1.1091855545895766,1.8252642776428876,18.38588809967041,0.17629564799377898,0.46561896623436977,1.1131848163680687,11.776039123535156
16,20,4,False,10440,10440,True,,0.10527972050705785,0.9606910766160656,1.4917905885628147,8.254068374633789,0.025331091728551483,0.227402282484342,0.3999413535785002,3.383441925048828
18,20,2,False,10440,10440,True,,-9.143532578171365,9.919461553190784,15.694425677099064,99.65139389038086,-3.511785305275238,4.17996571386949,5.793275854351802,20.865493774414062
19,20,1,False,10440,10440,True,,0.0799540610948285,0.964187018080385,1.5046681202892704,8.34745168685913,0.08866080549066246,0.23755857419046558,0.4466721690412756,4.526661396026611
20,20,0,False,10440,10440,True,,-14.243741336540767,15.637272634287513,99.4352954160066,1993.0906066894531,0.0,0.0,0.0,0.0
13,21,8,False,10440,10440,True,,0.001962921700867352,1.245194487473517,2.0185524212595136,19.225529670715332,0.17762325491713382,0.41001196142814167,0.6404461198767621,5.203117370605469
17,21,4,False,10440,10440,True,,-7.235762860116907,8.173006579388375,14.531272336725392,100.80947494506836,0.19801803446288005,2.237532789805383,6.119223067494666,67.49122619628906
19,21,2,False,10440,10440,True,,0.035524087350715626,0.9567691161657659,1.510549763724235,8.215828895568848,0.04423083174654959,0.3055599144059275,0.515648441505743,4.187121868133545
20,21,1,False,10440,10440,True,,-15.188172007250298,16.64393522080562,99.6427871346758,1961.2100830078125,-0.9444306707095312,4.679489413463055,35.06473172986846,662.1461181640625
21,21,0,False,10440,10440,True,,-65.40739029374159,66.42034122381327,195.4003272585811,1906.2993774414062,0.0,0.0,0.0,0.0
14,22,8,False,10440,10440,True,,0.0832402137085548,0.961435476173843,1.5071285711398976,8.554250240325928,0.18087435812709585,0.33321584196687504,0.5850052793185946,5.109760284423828
18,22,4,False,10440,10440,True,,-9.14096149179328,9.903395121343824,16.533040422051066,107.87603378295898,-3.5092142188971525,3.7618278021157017,5.351689331145729,25.609893798828125
20,22,2,False,10440,10440,True,,-14.579102926161783,15.921461267164155,96.41632941236443,1819.947509765625,-0.33536158962101503,4.877740895319707,37.0164644225612,769.51708984375
21,22,1,False,10440,10440,True,,-54.66211089696045,55.68758279873227,163.53503857723243,1846.8679809570312,10.74527939678114,11.02180342820222,45.29282524898792,804.3270263671875
22,22,0,False,10440,10440,True,,-25.931653230491726,27.109692366522086,122.55551245950215,1949.2550048828125,0.0,0.0,0.0,0.0
15,23,8,False,10440,10440,True,,0.12299553494267688,0.960429368032045,1.4977533431875054,8.408786296844482,0.08401250686796233,0.29664786794671305,0.49537610391676723,3.2723140716552734
19,23,4,False,10440,10440,True,,0.05459432190481578,0.9828725437818054,1.5484273512728444,8.480241775512695,0.06330106630064976,0.280286640467391,0.546767701240627,5.365833759307861
21,23,2,False,10440,10440,True,,-51.826974660664376,52.8950302469129,155.45967973162425,1860.3289184570312,13.580415633077214,13.86986343006902,51.6538098652404,894.31640625
22,23,1,False,10440,10440,True,,-23.530599269681012,24.726125371771108,112.73230420982462,1981.4977416992188,2.401053960810714,2.8801810010554005,17.427025201805098,421.3828125
23,23,0,False,10440,10440,True,,0.154005380795072,0.9430765159018957,1.4486853985805046,8.174552917480469,0.0,0.0,0.0,0.0
16,24,8,False,10440,10440,True,,0.07002354883142815,0.9167582149706581,1.4544701422930135,8.554130554199219,-0.009925079947078213,0.29778577568506676,0.47846322360175586,2.934680938720703
20,24,4,False,10440,10440,True,,-16.76621102881576,18.128797481607737,107.49214036747807,1855.7229614257812,-2.5224696922749947,5.709847671050212,38.332094273190364,606.6968994140625
22,24,2,False,10440,10440,True,,-31.01786427548676,32.14977929459487,141.33855048871828,1939.0855102539062,-5.086211044995036,6.196223632142538,28.106784782008496,424.011474609375
23,24,1,False,10440,10440,True,,0.1214034387587283,0.9688506019907132,1.4983539633284826,8.402356624603271,-0.032601942036343715,0.19599656518620093,0.3261530605486895,2.2159981727600098
24,24,0,False,10440,10440,True,,0.12608332402176328,0.9702242277324733,1.4841800507608576,8.361902713775635,0.0,0.0,0.0,0.0
17,25,8,False,10440,10440,True,,-8.264403622752557,9.279083779416169,16.723997542843964,108.03455352783203,-0.8306227281727706,2.801700432054308,6.341817332478879,60.30311584472656
21,25,4,False,10440,10440,True,,-68.83539660188012,69.89090040655923,202.25152459386084,1939.1381225585938,-3.4280063081385226,7.498400594929702,34.787297751446395,691.478271484375
23,25,2,False,10440,10440,True,,0.1457426871262291,0.9562539530706284,1.4728250313190072,8.389880657196045,-0.008262693668842925,0.25994563190264114,0.39398568155077457,2.011575698852539
24,25,1,False,10440,10440,True,,0.17890484590716138,0.9681061703697474,1.4744566008684956,8.14650583267212,0.0528215218853981,0.22302047489246646,0.46452715496377756,4.913434028625488
25,25,0,False,10440,10440,True,,0.23268879070440318,0.717162760136837,1.1715894289643396,8.17716932296753,0.0,0.0,0.0,0.0
18,26,8,False,10440,10440,True,,-10.784468274610177,11.559664768012928,18.97768137092716,106.68698501586914,-5.152721001714049,5.420815866650826,8.159052984560045,39.131500244140625
22,26,4,False,10440,10440,True,,-33.16393866372291,34.4680602461975,150.65562479475471,1859.5988159179688,-7.232285433231186,7.735512547493742,34.41229095803658,433.587646484375
24,26,2,False,10440,10440,True,,0.18790893895339844,1.0046702919068768,1.5092715646451482,8.156094551086426,0.061825614931635166,0.3200581798303782,0.5529955543078378,4.7420196533203125
25,26,1,False,10440,10440,True,,0.21071721548321604,0.7072741829344139,1.1527611201878416,8.366973400115967,-0.02197157522118716,0.14089837855306164,0.22270060453700824,1.4356307983398438
26,26,0,False,10440,10440,True,,0.3472767812957557,0.3472767812957557,0.3573879921351173,0.8489797115325928,0.0,0.0,0.0,0.0
19,27,8,False,10440,10440,True,,-0.014401948044735505,0.9337020863556466,1.5085951353473441,8.24553394317627,-0.0056952036489015334,0.32832721251980096,0.5692524660145805,4.869876384735107
23,27,4,False,10440,10440,True,,0.09572117277260485,0.9401400741223023,1.4595561578502438,8.189671039581299,-0.05828420802246717,0.22742096841868162,0.36060350995407925,2.204233169555664
25,27,2,False,10440,10440,True,,0.17115947814660662,0.7011811820673608,1.1692276156836057,8.307317733764648,-0.06152931255779656,0.20089850480148466,0.34178039504462737,2.5319643020629883
26,27,1,False,10440,10440,True,,0.34331325336358254,0.34331325336358254,0.3491597171696579,0.5219721794128418,-0.003963527932173143,0.03632723283341409,0.06667137649074766,0.6092591285705566
27,27,0,False,10440,10440,True,,0.3236206837122163,0.8719057346783379,1.5947787727831166,15.592307090759277,0.0,0.0,0.0,0.0
20,28,8,False,10440,10440,True,,-16.583479167288825,17.936858287603997,106.36011460376005,1855.4613037109375,-2.339737830748056,5.8476785738937,38.379290015697144,623.3079833984375
24,28,4,False,10440,10440,True,,0.1706355598808705,0.9717250515865031,1.4653561492443983,8.193665027618408,0.04455223585910724,0.24315799334649077,0.45057502043964587,4.759503364562988
26,28,2,False,10440,10440,True,,0.3552985690296229,0.3552985690296229,0.36252290888575567,0.5445938110351562,0.00802178773386725,0.04423110143282709,0.07269910468658412,0.6527001857757568
27,28,1,False,10440,10440,True,,0.5267444937812262,1.0012211121399892,1.751411753477016,15.87042236328125,0.20312381006900987,0.30679774310244756,0.6487834566577783,5.075023651123047
28,28,0,False,10440,10440,True,,0.42432806102861087,0.4326653173067256,0.5384713104112179,4.535514831542969,0.0,0.0,0.0,0.0
21,29,8,False,10440,10440,True,,-70.58121512426423,71.59285222013335,206.376527571172,1939.6842041015625,-5.173824830522634,9.32106610021981,36.71249974064296,662.3905029296875
25,29,4,False,10440,10440,True,,0.13634070866333267,0.6968531983831986,1.186351602037933,8.507678031921387,-0.09634808204107054,0.16493529696802525,0.25922756707101485,1.8706903457641602
27,29,2,False,10440,10440,True,,0.3839259141934786,0.8720906582600312,1.6085898378495356,15.782560348510742,0.060305230481262254,0.29914437784774095,0.5995860578747627,5.407676696777344
28,29,1,False,10440,10440,True,,0.3416039943999562,0.34465313253122576,0.4157436896845142,3.5630388259887695,-0.08272406662865464,0.10630469732509872,0.16189656505410083,1.2440881729125977
29,29,0,False,10440,10440,True,,0.3720509514117454,0.3729576428807406,0.3926580796578195,1.157325029373169,0.0,0.0,0.0,0.0
22,30,8,False,10440,10440,True,,-35.290066046135486,36.420871574048185,158.62012548408748,1937.0582275390625,-9.358412815643758,9.987054595686162,44.77742191114652,568.40771484375
26,30,4,False,10440,10440,True,,0.32735521210640633,0.32735521210640633,0.33089228634705786,0.4637918472290039,-0.019921569189349352,0.04002120366193935,0.06805666839160718,0.5825865268707275
28,30,2,False,10440,10440,True,,0.3570820832085031,0.3662995921317036,0.43979262336690095,3.7037839889526367,-0.06724597782010776,0.10016179832309903,0.15811413069208868,0.9119341373443604
29,30,1,False,10440,10440,True,,0.3551572442587613,0.3551572442587613,0.36129483860699946,0.5320100784301758,-0.01689370715298415,0.050153769356689845,0.11050676295124832,0.8762238025665283
30,30,0,False,10440,10440,True,,0.38828403395558986,0.3884543988287525,0.4015172166545011,1.0539493560791016,0.0,0.0,0.0,0.0
23,31,8,False,10440,10440,True,,0.007569758618776216,0.9139701017665072,1.458664157368959,8.363651752471924,-0.1464356221762958,0.2935890475147681,0.449814256856959,2.5658912658691406
