sampleKind,sourceFrameIndex,previousSourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,metric,controlHistoryReset,grainHistoryReset,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
frame,6,,6,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
frame,6,,6,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
adjacent,6,5,6,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
adjacent,6,5,6,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
adjacent,6,5,6,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,R
frame,7,,7,30,1,30,prefix,C,False,False,691200,-2633101.8797426247,3250789.741598072,1206362731.5621805,-3.8094645250906027,4.703110158562025,41.77698471542527,1697.6221923828125,-1697.6221923828125,7,447,226,B
frame,7,,7,30,1,30,prefix,R,False,False,691200,-2633101.8797426247,3250789.741598072,1206362731.5621805,-3.8094645250906027,4.703110158562025,41.77698471542527,1697.6221923828125,-1697.6221923828125,7,447,226,B
frame,7,,7,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
frame,7,,7,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
frame,7,,7,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
adjacent,7,6,7,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
adjacent,7,6,7,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
adjacent,7,6,7,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,R
frame,8,,8,30,1,30,prefix,C,False,False,691200,-2666866.6717430796,3265759.9388441886,1176247266.21328,-3.858314050554224,4.724768430040782,41.252231740506524,1680.4463500976562,-1680.4463500976562,8,447,226,B
frame,8,,8,30,1,30,prefix,R,False,False,691200,-2666866.6717430796,3265759.9388441886,1176247266.21328,-3.858314050554224,4.724768430040782,41.252231740506524,1680.4463500976562,-1680.4463500976562,8,447,226,B
frame,8,,8,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
frame,8,,8,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
frame,8,,8,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
adjacent,8,7,8,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
adjacent,8,7,8,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
adjacent,8,7,8,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,R
frame,9,,9,30,1,30,prefix,C,False,False,691200,-2717538.675023268,3314373.1558857663,1268780630.11992,-3.931624240485052,4.795100051918064,42.844137575574926,1712.7222290039062,-1712.7222290039062,9,447,226,B
frame,9,,9,30,1,30,prefix,R,False,False,691200,-2717538.675023268,3314373.1558857663,1268780630.11992,-3.931624240485052,4.795100051918064,42.844137575574926,1712.7222290039062,-1712.7222290039062,9,447,226,B
frame,9,,9,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
frame,9,,9,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
frame,9,,9,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
adjacent,9,8,9,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
adjacent,9,8,9,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
adjacent,9,8,9,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,R
frame,10,,10,30,1,30,prefix,C,False,False,691200,-2762232.6797275906,3379377.788926876,1341696755.6693661,-3.9962857056244077,4.889146106665041,44.058054931905055,1700.5391235351562,-1700.5391235351562,10,447,226,B
frame,10,,10,30,1,30,prefix,R,False,False,691200,-2762232.6797275906,3379377.788926876,1341696755.6693661,-3.9962857056244077,4.889146106665041,44.058054931905055,1700.5391235351562,-1700.5391235351562,10,447,226,B
frame,10,,10,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
frame,10,,10,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
frame,10,,10,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
adjacent,10,9,10,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
adjacent,10,9,10,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
adjacent,10,9,10,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,R
frame,11,,11,30,1,30,prefix,C,False,False,691200,-2433028.374949119,3035114.834712169,972802968.4314166,-3.520006329498147,4.391080490034967,37.51548616255752,1684.5014038085938,-1684.5014038085938,11,447,226,B
frame,11,,11,30,1,30,prefix,R,False,False,691200,-2433028.374949119,3035114.834712169,972802968.4314166,-3.520006329498147,4.391080490034967,37.51548616255752,1684.5014038085938,-1684.5014038085938,11,447,226,B
frame,11,,11,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
frame,11,,11,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
frame,11,,11,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
adjacent,11,10,11,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
adjacent,11,10,11,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
adjacent,11,10,11,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,R
frame,12,,12,30,1,30,prefix,C,False,False,691200,-2577780.6330656754,3184912.1856283294,1172697979.078322,-3.729427999226961,4.607801194485431,41.18994609787907,1698.4925537109375,-1698.4925537109375,12,447,226,B
frame,12,,12,30,1,30,prefix,R,False,False,691200,-2577780.6330656754,3184912.1856283294,1172697979.078322,-3.729427999226961,4.607801194485431,41.18994609787907,1698.4925537109375,-1698.4925537109375,12,447,226,B
frame,12,,12,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
frame,12,,12,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,R
