workload,completedWallSeconds,arm,armIndex,confidence,endUptimeNanoseconds,erosionCompletedWallSeconds,expectedByteEqual,expectedSHA256,historicalProductionExact,inputSHA256,maskIndex,maskName,maskProvenance,measured,mlxBytes,motionCompletedWallSeconds,orderIndex,outputBytes,outputNonfiniteScalars,outputSHA256,pairIndex,pass,phase,previousSourceFrameIndex,reliableFractionBits,reset,scalarValuesFinite,sourceFrameIndex,sourcePairIndex,startUptimeNanoseconds,vectors,warpedLumaErrorBits
isolated,0.001244542,candidate,0,,1055745614040208,0.001244542,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,1,natural-1498,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,1,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,57,4,measured,,,,,1498,,1055745612795666,,
isolated,0.001354708,baseline,1,,1055745632505791,0.001354708,true,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,1,natural-1498,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,1,8294400,0,788ae0147bdf979a6575938ca2d7d4403788588f7be2010f03776c968fd1ab49,57,4,measured,,,,,1498,,1055745631151083,,
isolated,0.003677375,baseline,0,,1055745682435416,0.003677375,true,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,,189292e00661ef089f37c248b608e927d6ac2828d78ec57b3b8a070aee243ef1,2,natural-1499,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,2,8294400,0,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,58,4,measured,,,,,1499,,1055745678758041,,
isolated,0.001756583,candidate,1,,1055745698712208,0.001756583,true,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,,189292e00661ef089f37c248b608e927d6ac2828d78ec57b3b8a070aee243ef1,2,natural-1499,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,2,8294400,0,e4d7d9ae97135d7dc185243b19490a1f40bcca651cf2b759538db368bedc01b7,58,4,measured,,,,,1499,,1055745696955625,,
isolated,0.0029575,candidate,0,,1055745729357125,0.0029575,true,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,,a1831330a8b322484403fd9244f7cff12dcec82bc068b0215790e84a55edb66c,3,natural-1500,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,3,8294400,0,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,59,4,measured,,,,,1500,,1055745726399625,,
isolated,0.003581166,baseline,1,,1055745746977791,0.003581166,true,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,,a1831330a8b322484403fd9244f7cff12dcec82bc068b0215790e84a55edb66c,3,natural-1500,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,3,8294400,0,ff2eeb16566030b9dd06a8c01bbf967fa94070c40acdbbea6a0d2dc48c7167eb,59,4,measured,,,,,1500,,1055745743396625,,
isolated,0.00705225,baseline,0,,1055745783118250,0.00705225,true,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,,10a50f2709cccd846b33cda5498a15b41ad61332e2284bd7c8a188f4134d4c12,4,natural-1501,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,4,8294400,0,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,60,4,measured,,,,,1501,,1055745776066000,,
isolated,0.0029905,candidate,1,,1055745800026333,0.0029905,true,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,,10a50f2709cccd846b33cda5498a15b41ad61332e2284bd7c8a188f4134d4c12,4,natural-1501,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,4,8294400,0,7e53933ec6ffad34b19572512b6e4dd79cdf79d53cce1b9679f28641c8345004,60,4,measured,,,,,1501,,1055745797035833,,
isolated,0.0027165,candidate,0,,1055745829194708,0.0027165,true,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,,80fb7b59839bc3ef553ea700cca4948213992df8929b065322b349df5c2b9974,5,natural-1502,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,5,8294400,0,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,61,4,measured,,,,,1502,,1055745826478208,,
isolated,0.006245458,baseline,1,,1055745849440583,0.006245458,true,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,,80fb7b59839bc3ef553ea700cca4948213992df8929b065322b349df5c2b9974,5,natural-1502,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,5,8294400,0,a1dc46082a3247c370a0bea80eac8a6a710ea1d6c4447263d927751d18344a45,61,4,measured,,,,,1502,,1055745843195125,,
isolated,0.006118833,baseline,0,,1055745882395958,0.006118833,true,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,,cb432adf0baf47a4e0ed095cc7d823427738c5aa006135d016d6ae9ddee87899,6,natural-1503,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,6,8294400,0,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,62,4,measured,,,,,1503,,1055745876277125,,
isolated,0.002712916,candidate,1,,1055745899340916,0.002712916,true,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,,cb432adf0baf47a4e0ed095cc7d823427738c5aa006135d016d6ae9ddee87899,6,natural-1503,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,6,8294400,0,258955f94ba510e2de8a6b14dfe07f10e1b6ab8e7d73c54fe6bc36c37eaa3d6d,62,4,measured,,,,,1503,,1055745896628000,,
isolated,0.002764791,candidate,0,,1055745929830666,0.002764791,true,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,,bc1efaeb0a94427015bf1b360a9ed5013c1959c7be0f97eacee15e97fa4d5345,7,natural-1504,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,7,8294400,0,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,63,4,measured,,,,,1504,,1055745927065875,,
isolated,0.005972084,baseline,1,,1055745949888250,0.005972084,true,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,,bc1efaeb0a94427015bf1b360a9ed5013c1959c7be0f97eacee15e97fa4d5345,7,natural-1504,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,7,8294400,0,19e13139913e3ab371c6400a1c7c2c109d1d6fdfbe6cb24aaa64906f6d77c38d,63,4,measured,,,,,1504,,1055745943916166,,
isolated,0.00371875,baseline,0,,1055745981006416,0.00371875,true,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,,3cd48e5b732947674c4a6e32824115b3e41ae92049a89938af339726f6f4ede5,8,natural-1505,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,8,8294400,0,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,64,4,measured,,,,,1505,,1055745977287666,,
isolated,0.003431458,candidate,1,,1055745999530958,0.003431458,true,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,,3cd48e5b732947674c4a6e32824115b3e41ae92049a89938af339726f6f4ede5,8,natural-1505,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,8,8294400,0,def4be0fb3fad44d0bba17f4ec87b34a29779692689a1e34b7c1d14c9890783d,64,4,measured,,,,,1505,,1055745996099500,,
isolated,0.002785084,candidate,0,,1055746067401375,0.002785084,true,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,,6c5f8a443a7b5b54701f1a7774dac18df1a092494a23d814bdd77e6c6bbe710b,9,natural-1506,natural,true,"{""active"":126681120,""cache"":8312242,""peakActive"":134987808}",,9,8294400,0,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,65,4,measured,,,,,1506,,1055746064616291,,
isolated,0.004479542,baseline,1,,1055746092175958,0.004479542,true,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,,6c5f8a443a7b5b54701f1a7774dac18df1a092494a23d814bdd77e6c6bbe710b,9,natural-1506,natural,true,"{""active"":124600352,""cache"":10393010,""peakActive"":134987808}",,9,8294400,0,4884d6f9f54612fb41275b8e8d13cddd2192972bfafae0abaa4314560ed442e6,65,4,measured,,,,,1506,,1055746087696416,,
