sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,generation,historyReset,usedModel,publicMotionRequested,region,residual,regionPixels,temporalSupportPixels,temporalUnavailableReason,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,temporalSignedMeanNits,temporalMeanAbsoluteNits,temporalRmsNits,temporalMaximumAbsoluteNits
5,5,30,1,30,staticPreroll,1,False,True,automatic,background,identityMinusOriginal,434880,434880,,-2.1824517728418645e-10,4.213630444049718e-08,1.86970844704341e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
5,5,30,1,30,staticPreroll,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-1.3910249716396494,3.3850526437577275,8.903270389085995,178.74317932128906,0.010799290469608544,0.21225997223298745,0.38693936176506144,7.753875732421875
5,5,30,1,30,staticPreroll,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
5,5,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
5,5,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
5,5,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
5,5,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
6,6,30,1,30,staticPreroll,1,False,True,automatic,background,enhancedMinusOriginal,434880,434880,,-3.884538413221996,4.598564226040115,42.37467890120805,1962.9757690429688,0.21710441446298984,0.31700976904140954,3.342995402425908,180.5850830078125
6,6,30,1,30,staticPreroll,1,False,True,automatic,background,identityMinusOriginal,434880,434880,,-2.1824517728418645e-10,4.213630444049718e-08,1.86970844704341e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
6,6,30,1,30,staticPreroll,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-1.3059879342819616,3.5137255027347827,8.868342108906106,178.5425262451172,0.08503703735768794,0.24582975206998953,0.4565094212611289,8.92047119140625
6,6,30,1,30,staticPreroll,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
6,6,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
6,6,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
6,6,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
6,6,30,1,30,staticPreroll,1,False,True,automatic,newViewportBackground,identityMinusOriginal,0,0,empty region,,,,,,,,
7,7,30,1,30,staticPreroll,1,False,True,automatic,background,enhancedMinusOriginal,434880,434880,,-4.412921411457108,5.13957837151133,47.82130328105774,1996.4398803710938,-0.5283829982351126,0.5575052082954114,6.1728673482813115,219.0682373046875
7,7,30,1,30,staticPreroll,1,False,True,automatic,background,identityMinusOriginal,434880,434880,,-2.1824517728418645e-10,4.213630444049718e-08,1.86970844704341e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
7,7,30,1,30,staticPreroll,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-1.349588398937978,3.4739826066626445,8.843507590406698,178.5016632080078,-0.04360046465601653,0.159500665194801,0.342656648969959,9.51397705078125
7,7,30,1,30,staticPreroll,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
7,7,30,1,30,staticPreroll,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,0,0,empty region,,,,,,,,
